product_title,product_description,category
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
Wireless Bluetooth Earbuds,High-quality wireless earbuds with Bluetooth 5.0 and long battery life.,Electronics
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours.,Home & Kitchen
Yoga Mat with Carrying Strap,Durable yoga mat with non-slip surface and convenient carrying strap.,Sports & Outdoors
Apple iPhone 13,Latest model of Apple iPhone with A15 Bionic chip and improved battery.,Mobile Phones
LED Desk Lamp,LED desk lamp with adjustable brightness and USB charging port.,Home Office
Gaming Mouse,Precision gaming mouse with customizable DPI and RGB lighting.,Computers
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation and clear sound.,Audio
Portable SSD 1TB,1TB solid state drive for fast data transfer and secure storage.,Storage
Smartwatch with Heart Rate Monitor,"Smartwatch featuring fitness tracking, heart rate monitor, and notifications.",Wearables
Ergonomic Office Chair,Comfortable office chair with lumbar support and adjustable height.,Furniture
